accSppName,Name_matched,Accepted_name,Accepted_name_family,Name_submitted,genus,phylo,habit
Sambucus canadensis,Sambucus canadensis,Sambucus canadensis,Adoxaceae,Sambucus_canadensis,Sambucus,Adoxaceae/Sambucus/Sambucus_canadensis,woody
Viburnum lentago,Viburnum lentago,Viburnum lentago,Adoxaceae,Viburnum_lentago,Viburnum,Adoxaceae/Viburnum/Viburnum_lentago,woody
Viburnum rafinesqueanum,Viburnum rafinesqueanum,Viburnum rafinesqueanum,Adoxaceae,Viburnum_rafinesqueanum,Viburnum,Adoxaceae/Viburnum/Viburnum_rafinesqueanum,woody
Amaranthus blitoides,Amaranthus blitoides,Amaranthus blitoides,Amaranthaceae,Amaranthus_blitoides,Amaranthus,Amaranthaceae/Amaranthus/Amaranthus_blitoides,
Chenopodium album,Chenopodium album,Chenopodium album,Amaranthaceae,Chenopodium_album,Chenopodium,Amaranthaceae/Chenopodium/Chenopodium_album,
Allium canadense,Allium canadense,Allium canadense,Amaryllidaceae,Allium_canadense,Allium,Amaryllidaceae/Allium/Allium_canadense,
Allium cernuum,Allium cernuum,Allium cernuum,Amaryllidaceae,Allium_cernuum,Allium,Amaryllidaceae/Allium/Allium_cernuum,
Rhus glabra,Rhus glabra,Rhus glabra,Anacardiaceae,Rhus_glabra,Rhus,Anacardiaceae/Rhus/Rhus_glabra,woody
Rhus typhina,Rhus typhina,Rhus typhina,Anacardiaceae,Rhus_typhina,Rhus,Anacardiaceae/Rhus/Rhus_typhina,woody
Toxicodendron radicans,Toxicodendron radicans,Toxicodendron radicans,Anacardiaceae,Toxicodendron_radicans,Toxicodendron,Anacardiaceae/Toxicodendron/Toxicodendron_radicans,woody
Cryptotaenia canadensis,Cryptotaenia canadensis,Cryptotaenia canadensis,Apiaceae,Cryptotaenia_canadensis,Cryptotaenia,Apiaceae/Cryptotaenia/Cryptotaenia_canadensis,
Eryngium yuccifolium,Eryngium yuccifolium,Eryngium yuccifolium,Apiaceae,Eryngium_yuccifolium,Eryngium,Apiaceae/Eryngium/Eryngium_yuccifolium,
Osmorhiza aristata var. aristata,Osmorhiza aristata var. aristata,Osmorhiza aristata var. aristata,Apiaceae,Osmorhiza_aristata,Osmorhiza,Apiaceae/Osmorhiza/Osmorhiza_aristata,
Osmorhiza claytonii,Osmorhiza claytonii,Osmorhiza aristata var. aristata,Apiaceae,Osmorhiza_claytonii,Osmorhiza,Apiaceae/Osmorhiza/Osmorhiza_claytonii,
Osmorhiza longistylis,Osmorhiza longistylis,Osmorhiza longistylis,Apiaceae,Osmorhiza_longistylis,Osmorhiza,Apiaceae/Osmorhiza/Osmorhiza_longistylis,
Oxypolis rigidior,Oxypolis rigidior,Oxypolis rigidior,Apiaceae,Oxypolis_rigidior,Oxypolis,Apiaceae/Oxypolis/Oxypolis_rigidior,
Sanicula marilandica,Sanicula marilandica,Sanicula marilandica,Apiaceae,Sanicula_marilandica,Sanicula,Apiaceae/Sanicula/Sanicula_marilandica,
Sanicula odorata,Sanicula odorata,Sanicula odorata,Apiaceae,Sanicula_odorata,Sanicula,Apiaceae/Sanicula/Sanicula_odorata,
Taenidia integerrima,Taenidia integerrima,Taenidia integerrima,Apiaceae,Taenidia_integerrima,Taenidia,Apiaceae/Taenidia/Taenidia_integerrima,
Thaspium trifoliatum,Thaspium trifoliatum,Thaspium trifoliatum,Apiaceae,Thaspium_trifoliatum,Thaspium,Apiaceae/Thaspium/Thaspium_trifoliatum,
Zizia aurea,Zizia aurea,Zizia aurea,Apiaceae,Zizia_aurea,Zizia,Apiaceae/Zizia/Zizia_aurea,
Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynaceae,Apocynum_androsaemifolium,Apocynum,Apocynaceae/Apocynum/Apocynum_androsaemifolium,
Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynaceae,Apocynum_cannabinum,Apocynum,Apocynaceae/Apocynum/Apocynum_cannabinum,
Asclepias exaltata,Asclepias exaltata,Asclepias exaltata,Apocynaceae,Asclepias_exaltata,Asclepias,Apocynaceae/Asclepias/Asclepias_exaltata,
Asclepias incarnata,Asclepias incarnata,Asclepias incarnata,Apocynaceae,Asclepias_incarnata,Asclepias,Apocynaceae/Asclepias/Asclepias_incarnata,
Asclepias syriaca,Asclepias syriaca,Asclepias syriaca,Apocynaceae,Asclepias_syriaca,Asclepias,Apocynaceae/Asclepias/Asclepias_syriaca,
Asclepias tuberosa,Asclepias tuberosa,Asclepias tuberosa,Apocynaceae,Asclepias_tuberosa,Asclepias,Apocynaceae/Asclepias/Asclepias_tuberosa,
Asclepias verticillata,Asclepias verticillata,Asclepias verticillata,Apocynaceae,Asclepias_verticillata,Asclepias,Apocynaceae/Asclepias/Asclepias_verticillata,
Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum,Araceae,Arisaema_triphyllum,Arisaema,Araceae/Arisaema/Arisaema_triphyllum,
Aralia nudicaulis,Aralia nudicaulis,Aralia nudicaulis,Araliaceae,Aralia_nudicaulis,Aralia,Araliaceae/Aralia/Aralia_nudicaulis,
Panax trifolius,Panax trifolius,Panax trifolius,Araliaceae,Panax_trifolius,Panax,Araliaceae/Panax/Panax_trifolius,
Asparagus officinalis,Asparagus officinalis,Asparagus officinalis,Asparagaceae,Asparagus_officinalis,Asparagus,Asparagaceae/Asparagus/Asparagus_officinalis,
Camassia scilloides,Camassia scilloides,Camassia scilloides,Asparagaceae,Camassia_scilloides,Camassia,Asparagaceae/Camassia/Camassia_scilloides,
Maianthemum canadense,Maianthemum canadense,Maianthemum canadense,Asparagaceae,Maianthemum_canadense,Maianthemum,Asparagaceae/Maianthemum/Maianthemum_canadense,
Maianthemum racemosum,Maianthemum racemosum,Maianthemum racemosum,Asparagaceae,Maianthemum_racemosum,Maianthemum,Asparagaceae/Maianthemum/Maianthemum_racemosum,
Maianthemum stellatum,Maianthemum stellatum,Maianthemum stellatum,Asparagaceae,Maianthemum_stellatum,Maianthemum,Asparagaceae/Maianthemum/Maianthemum_stellatum,
Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,Asparagaceae,Polygonatum_biflorum,Polygonatum,Asparagaceae/Polygonatum/Polygonatum_biflorum,
Polygonatum pubescens,Polygonatum pubescens,Polygonatum pubescens,Asparagaceae,Polygonatum_pubescens,Polygonatum,Asparagaceae/Polygonatum/Polygonatum_pubescens,
Achillea millefolium,Achillea millefolium,Achillea millefolium,Asteraceae,Achillea_millefolium,Achillea,Asteraceae/Achillea/Achillea_millefolium,
Ageratina altissima,Ageratina altissima,Ageratina altissima,Asteraceae,Ageratina_altissima,Ageratina,Asteraceae/Ageratina/Ageratina_altissima,
Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Asteraceae,Ambrosia_artemisiifolia,Ambrosia,Asteraceae/Ambrosia/Ambrosia_artemisiifolia,
Ambrosia psilostachya,Ambrosia psilostachya,Ambrosia psilostachya,Asteraceae,Ambrosia_psilostachya,Ambrosia,Asteraceae/Ambrosia/Ambrosia_psilostachya,
Antennaria parlinii,Antennaria parlinii,Antennaria parlinii,Asteraceae,Antennaria_parlinii,Antennaria,Asteraceae/Antennaria/Antennaria_parlinii,
Antennaria spp.,Antennaria,Antennaria,Asteraceae,Antennaria_sp,Antennaria,Asteraceae/Antennaria/Antennaria_sp,
Arctium minus,Arctium minus,Arctium minus,Asteraceae,Arctium_minus,Arctium,Asteraceae/Arctium/Arctium_minus,
Arnoglossum atriplicifolium,Arnoglossum atriplicifolium,Arnoglossum atriplicifolium,Asteraceae,Arnoglossum_atriplicifolium,Arnoglossum,Asteraceae/Arnoglossum/Arnoglossum_atriplicifolium,
Arnoglossum plantagineum,Arnoglossum plantagineum,Arnoglossum plantagineum,Asteraceae,Arnoglossum_plantagineum,Arnoglossum,Asteraceae/Arnoglossum/Arnoglossum_plantagineum,
Artemisia campestris,Artemisia campestris,Artemisia campestris,Asteraceae,Artemisia_campestris,Artemisia,Asteraceae/Artemisia/Artemisia_campestris,
Artemisia frigida,Artemisia frigida,Artemisia frigida,Asteraceae,Artemisia_frigida,Artemisia,Asteraceae/Artemisia/Artemisia_frigida,
Artemisia ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Asteraceae,Artemisia_ludoviciana,Artemisia,Asteraceae/Artemisia/Artemisia_ludoviciana,
Bidens frondosa,Bidens frondosa,Bidens frondosa,Asteraceae,Bidens_frondosa,Bidens,Asteraceae/Bidens/Bidens_frondosa,
Bidens spp.,Bidens,,Asteraceae,Bidens_sp,Bidens,Asteraceae/Bidens/Bidens_sp,
Boltonia asteroides,Boltonia asteroides,Boltonia asteroides,Asteraceae,Boltonia_asteroides,Boltonia,Asteraceae/Boltonia/Boltonia_asteroides,
Brickellia eupatorioides,Brickellia eupatorioides,Brickellia eupatorioides,Asteraceae,Brickellia_eupatorioides,Brickellia,Asteraceae/Brickellia/Brickellia_eupatorioides,
Cacalia muehlenbergii,Cacalia muehlenbergii,Arnoglossum reniforme,Asteraceae,Cacalia_muehlenbergii,Cacalia,Asteraceae/Cacalia/Cacalia_muehlenbergii,
Cirsium canescens,Cirsium canescens,Cirsium canescens,Asteraceae,Cirsium_canescens,Cirsium,Asteraceae/Cirsium/Cirsium_canescens,
Cirsium discolor,Cirsium discolor,Cirsium discolor,Asteraceae,Cirsium_discolor,Cirsium,Asteraceae/Cirsium/Cirsium_discolor,
Coreopsis lanceolata,Coreopsis lanceolata,Coreopsis lanceolata,Asteraceae,Coreopsis_lanceolata,Coreopsis,Asteraceae/Coreopsis/Coreopsis_lanceolata,
Coreopsis palmata,Coreopsis palmata,Coreopsis palmata,Asteraceae,Coreopsis_palmata,Coreopsis,Asteraceae/Coreopsis/Coreopsis_palmata,
Coreopsis tripteris,Coreopsis tripteris,Coreopsis tripteris,Asteraceae,Coreopsis_tripteris,Coreopsis,Asteraceae/Coreopsis/Coreopsis_tripteris,
Echinacea pallida,Echinacea pallida,Echinacea pallida,Asteraceae,Echinacea_pallida,Echinacea,Asteraceae/Echinacea/Echinacea_pallida,
Echinacea purpurea,Echinacea purpurea,Echinacea purpurea,Asteraceae,Echinacea_purpurea,Echinacea,Asteraceae/Echinacea/Echinacea_purpurea,
Erechtites hieraciifolia,Erechtites hieraciifolia,Erechtites hieraciifolius,Asteraceae,Erechtites_hieraciifolia,Erechtites,Asteraceae/Erechtites/Erechtites_hieraciifolia,
Erigeron pulchellus,Erigeron pulchellus,Erigeron pulchellus,Asteraceae,Erigeron_pulchellus,Erigeron,Asteraceae/Erigeron/Erigeron_pulchellus,
Erigeron strigosus,Erigeron strigosus,Erigeron strigosus,Asteraceae,Erigeron_strigosus,Erigeron,Asteraceae/Erigeron/Erigeron_strigosus,
Eupatorium altissimum,Eupatorium altissimum,Eupatorium altissimum,Asteraceae,Eupatorium_altissimum,Eupatorium,Asteraceae/Eupatorium/Eupatorium_altissimum,
Eurybia macrophylla,Eurybia macrophylla,Eurybia macrophylla,Asteraceae,Eurybia_macrophylla,Eurybia,Asteraceae/Eurybia/Eurybia_macrophylla,
Euthamia graminifolia,Euthamia graminifolia,Euthamia graminifolia,Asteraceae,Euthamia_graminifolia,Euthamia,Asteraceae/Euthamia/Euthamia_graminifolia,
Eutrochium purpureum,Eutrochium purpureum,Eupatorium purpureum,Asteraceae,Eutrochium_purpureum,Eutrochium,Asteraceae/Eutrochium/Eutrochium_purpureum,
Helianthus grosseserratus,Helianthus grosseserratus,Helianthus grosseserratus,Asteraceae,Helianthus_grosseserratus,Helianthus,Asteraceae/Helianthus/Helianthus_grosseserratus,
Helianthus hirsutus,Helianthus hirsutus,Helianthus hirsutus,Asteraceae,Helianthus_hirsutus,Helianthus,Asteraceae/Helianthus/Helianthus_hirsutus,
Helianthus maximiliani,Helianthus maximiliani,Helianthus maximiliani,Asteraceae,Helianthus_maximiliani,Helianthus,Asteraceae/Helianthus/Helianthus_maximiliani,
Helianthus occidentalis,Helianthus occidentalis,Helianthus occidentalis,Asteraceae,Helianthus_occidentalis,Helianthus,Asteraceae/Helianthus/Helianthus_occidentalis,
Helianthus pauciflorus,Helianthus pauciflorus,Helianthus pauciflorus,Asteraceae,Helianthus_pauciflorus,Helianthus,Asteraceae/Helianthus/Helianthus_pauciflorus,
Helianthus strumosus,Helianthus strumosus,Helianthus strumosus,Asteraceae,Helianthus_strumosus,Helianthus,Asteraceae/Helianthus/Helianthus_strumosus,
Heliopsis helianthoides,Heliopsis helianthoides,Heliopsis helianthoides,Asteraceae,Heliopsis_helianthoides,Heliopsis,Asteraceae/Heliopsis/Heliopsis_helianthoides,
Hieracium longipilum,Hieracium longipilum,Hieracium longipilum,Asteraceae,Hieracium_longipilum,Hieracium,Asteraceae/Hieracium/Hieracium_longipilum,
Hieracium umbellatum,Hieracium umbellatum,Hieracium umbellatum,Asteraceae,Hieracium_umbellatum,Hieracium,Asteraceae/Hieracium/Hieracium_umbellatum,
Ionactis linariifolius,Ionactis linariifolius,Ionactis linariifolius,Asteraceae,Ionactis_linariifolius,Ionactis,Asteraceae/Ionactis/Ionactis_linariifolius,
Krigia biflora,Krigia biflora,Krigia biflora,Asteraceae,Krigia_biflora,Krigia,Asteraceae/Krigia/Krigia_biflora,
Lactuca biennis,Lactuca biennis,Lactuca biennis,Asteraceae,Lactuca_biennis,Lactuca,Asteraceae/Lactuca/Lactuca_biennis,
Lactuca canadensis,Lactuca canadensis,Lactuca canadensis,Asteraceae,Lactuca_canadensis,Lactuca,Asteraceae/Lactuca/Lactuca_canadensis,
Lactuca ludoviciana,Lactuca ludoviciana,Lactuca ludoviciana,Asteraceae,Lactuca_ludoviciana,Lactuca,Asteraceae/Lactuca/Lactuca_ludoviciana,
Lactuca serriola,Lactuca serriola,Lactuca serriola,Asteraceae,Lactuca_serriola,Lactuca,Asteraceae/Lactuca/Lactuca_serriola,
Liatris aspera,Liatris aspera,Liatris aspera,Asteraceae,Liatris_aspera,Liatris,Asteraceae/Liatris/Liatris_aspera,
Liatris cylindracea,Liatris cylindracea,Liatris cylindracea,Asteraceae,Liatris_cylindracea,Liatris,Asteraceae/Liatris/Liatris_cylindracea,
Prenanthes alba,Prenanthes alba,Nabalus albus,Asteraceae,Prenanthes_alba,Prenanthes,Asteraceae/Prenanthes/Prenanthes_alba,
Prenanthes racemosa,Prenanthes racemosa,Nabalus racemosus,Asteraceae,Prenanthes_racemosa,Prenanthes,Asteraceae/Prenanthes/Prenanthes_racemosa,
Pseudognaphalium obtusifolium,Pseudognaphalium obtusifolium,Pseudognaphalium obtusifolium,Asteraceae,Pseudognaphalium_obtusifolium,Pseudognaphalium,Asteraceae/Pseudognaphalium/Pseudognaphalium_obtusifolium,
Ratibida pinnata,Ratibida pinnata,Ratibida pinnata,Asteraceae,Ratibida_pinnata,Ratibida,Asteraceae/Ratibida/Ratibida_pinnata,
Rudbeckia hirta,Rudbeckia hirta,Rudbeckia hirta,Asteraceae,Rudbeckia_hirta,Rudbeckia,Asteraceae/Rudbeckia/Rudbeckia_hirta,
Rudbeckia laciniata,Rudbeckia laciniata,Rudbeckia laciniata,Asteraceae,Rudbeckia_laciniata,Rudbeckia,Asteraceae/Rudbeckia/Rudbeckia_laciniata,
Rudbeckia subtomentosa,Rudbeckia subtomentosa,Rudbeckia subtomentosa,Asteraceae,Rudbeckia_subtomentosa,Rudbeckia,Asteraceae/Rudbeckia/Rudbeckia_subtomentosa,
Rudbeckia triloba,Rudbeckia triloba,Rudbeckia triloba,Asteraceae,Rudbeckia_triloba,Rudbeckia,Asteraceae/Rudbeckia/Rudbeckia_triloba,
Silphium integrifolium,Silphium integrifolium,Silphium integrifolium,Asteraceae,Silphium_integrifolium,Silphium,Asteraceae/Silphium/Silphium_integrifolium,
Silphium laciniatum,Silphium laciniatum,Silphium laciniatum,Asteraceae,Silphium_laciniatum,Silphium,Asteraceae/Silphium/Silphium_laciniatum,
Silphium perfoliatum,Silphium perfoliatum,Silphium perfoliatum,Asteraceae,Silphium_perfoliatum,Silphium,Asteraceae/Silphium/Silphium_perfoliatum,
Silphium terebinthinaceum,Silphium terebinthinaceum,Silphium terebinthinaceum,Asteraceae,Silphium_terebinthinaceum,Silphium,Asteraceae/Silphium/Silphium_terebinthinaceum,
Solidago altissima,Solidago altissima,Solidago canadensis,Asteraceae,Solidago_altissima,Solidago,Asteraceae/Solidago/Solidago_altissima,
Solidago caesia,Solidago caesia,Solidago caesia,Asteraceae,Solidago_caesia,Solidago,Asteraceae/Solidago/Solidago_caesia,
Solidago canadensis,Solidago canadensis,Solidago canadensis,Asteraceae,Solidago_canadensis,Solidago,Asteraceae/Solidago/Solidago_canadensis,
Solidago flexicaulis,Solidago flexicaulis,Solidago flexicaulis,Asteraceae,Solidago_flexicaulis,Solidago,Asteraceae/Solidago/Solidago_flexicaulis,
Solidago gigantea,Solidago gigantea,Solidago gigantea,Asteraceae,Solidago_gigantea,Solidago,Asteraceae/Solidago/Solidago_gigantea,
Solidago juncea,Solidago juncea,Solidago juncea,Asteraceae,Solidago_juncea,Solidago,Asteraceae/Solidago/Solidago_juncea,
Solidago missouriensis,Solidago missouriensis,Solidago missouriensis,Asteraceae,Solidago_missouriensis,Solidago,Asteraceae/Solidago/Solidago_missouriensis,
Solidago nemoralis,Solidago nemoralis,Solidago nemoralis,Asteraceae,Solidago_nemoralis,Solidago,Asteraceae/Solidago/Solidago_nemoralis,
Solidago ptarmicoides,Solidago ptarmicoides,Solidago ptarmicoides,Asteraceae,Solidago_ptarmicoides,Solidago,Asteraceae/Solidago/Solidago_ptarmicoides,
Solidago rigida,Solidago rigida,Solidago rigida,Asteraceae,Solidago_rigida,Solidago,Asteraceae/Solidago/Solidago_rigida,
Solidago rigidum,Solidago rigida,Solidago rigida,Asteraceae,Solidago_rigidum,Solidago,Asteraceae/Solidago/Solidago_rigidum,
Solidago speciosa,Solidago speciosa,Solidago speciosa,Asteraceae,Solidago_speciosa,Solidago,Asteraceae/Solidago/Solidago_speciosa,
Solidago spp.,Solidago,Solidago,Asteraceae,Solidago_spp,Solidago,Asteraceae/Solidago/Solidago_spp,
Solidago ulmifolia,Solidago ulmifolia,Solidago ulmifolia,Asteraceae,Solidago_ulmifolia,Solidago,Asteraceae/Solidago/Solidago_ulmifolia,
Symphyotrichum ciliolatum,Symphyotrichum ciliolatum,Symphyotrichum ciliolatum,Asteraceae,Symphyotrichum_ciliolatum,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_ciliolatum,
Symphyotrichum cordifolium,Symphyotrichum cordifolium,Symphyotrichum cordifolium,Asteraceae,Symphyotrichum_cordifolium,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_cordifolium,
Symphyotrichum drummondii,Symphyotrichum drummondii,Symphyotrichum drummondii,Asteraceae,Symphyotrichum_drummondii,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_drummondii,
Symphyotrichum ericoides,Symphyotrichum ericoides,Symphyotrichum ericoides,Asteraceae,Symphyotrichum_ericoides,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_ericoides,
Symphyotrichum laeve,Symphyotrichum laeve,Symphyotrichum laeve,Asteraceae,Symphyotrichum_laeve,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_laeve,
Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,Asteraceae,Symphyotrichum_lateriflorum,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_lateriflorum,
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum_novae-angliae,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_novae-angliae,
Symphyotrichum oblongifolium,Symphyotrichum oblongifolium,Symphyotrichum oblongifolium,Asteraceae,Symphyotrichum_oblongifolium,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_oblongifolium,
Symphyotrichum oolentangiense,Symphyotrichum oolentangiense,Symphyotrichum oolentangiense,Asteraceae,Symphyotrichum_oolentangiense,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_oolentangiense,
Symphyotrichum prenanthoides,Symphyotrichum prenanthoides,Symphyotrichum prenanthoides,Asteraceae,Symphyotrichum_prenanthoides,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_prenanthoides,
Symphyotrichum sericeum,Symphyotrichum sericeum,Symphyotrichum sericeum,Asteraceae,Symphyotrichum_sericeum,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_sericeum,
Symphyotrichum shortii,Symphyotrichum shortii,Symphyotrichum shortii,Asteraceae,Symphyotrichum_shortii,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_shortii,
Symphyotrichum urophyllum,Symphyotrichum urophyllum,Symphyotrichum urophyllum,Asteraceae,Symphyotrichum_urophyllum,Symphyotrichum,Asteraceae/Symphyotrichum/Symphyotrichum_urophyllum,
Taraxacum officinale,Taraxacum officinale,Taraxacum campylodes,Asteraceae,Taraxacum_officinale,Taraxacum,Asteraceae/Taraxacum/Taraxacum_officinale,
Taraxacum spp.,Taraxacum,Taraxacum,Asteraceae,Taraxacum_sp,Taraxacum,Asteraceae/Taraxacum/Taraxacum_sp,
Tragopogon spp.,Tragopogon,,Asteraceae,Tragopogon_sp,Tragopogon,Asteraceae/Tragopogon/Tragopogon_sp,
Vernonia fasciculata,Vernonia fasciculata,Vernonia fasciculata,Asteraceae,Vernonia_fasciculata,Vernonia,Asteraceae/Vernonia/Vernonia_fasciculata,
Vernonia missurica,Vernonia missurica,Vernonia missurica,Asteraceae,Vernonia_missurica,Vernonia,Asteraceae/Vernonia/Vernonia_missurica,
Impatiens capensis,Impatiens capensis,Impatiens capensis,Balsaminaceae,Impatiens_capensis,Impatiens,Balsaminaceae/Impatiens/Impatiens_capensis,
Berberis thunbergii,Berberis thunbergii,Berberis thunbergii,Berberidaceae,Berberis_thunbergii,Berberis,Berberidaceae/Berberis/Berberis_thunbergii,woody
Caulophyllum thalictroides,Caulophyllum thalictroides,Caulophyllum thalictroides,Berberidaceae,Caulophyllum_thalictroides,Caulophyllum,Berberidaceae/Caulophyllum/Caulophyllum_thalictroides,
Podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum,Berberidaceae,Podophyllum_peltatum,Podophyllum,Berberidaceae/Podophyllum/Podophyllum_peltatum,
Corylus americana,Corylus americana,Corylus americana,Betulaceae,Corylus_americana,Corylus,Betulaceae/Corylus/Corylus_americana,woody
Ostrya virginiana,Ostrya virginiana,Ostrya virginiana,Betulaceae,Ostrya_virginiana,Ostrya,Betulaceae/Ostrya/Ostrya_virginiana,woody
Hackelia virginiana,Hackelia virginiana,Hackelia virginiana,Boraginaceae,Hackelia_virginiana,Hackelia,Boraginaceae/Hackelia/Hackelia_virginiana,
Lithospermum canescens,Lithospermum canescens,Lithospermum canescens,Boraginaceae,Lithospermum_canescens,Lithospermum,Boraginaceae/Lithospermum/Lithospermum_canescens,
Lithospermum caroliniense,Lithospermum caroliniense,Lithospermum caroliniense,Boraginaceae,Lithospermum_caroliniense,Lithospermum,Boraginaceae/Lithospermum/Lithospermum_caroliniense,
