Species,Ave FLW w/o petiole (g),Ave FLW (g),Ave DLW w/o Petiole (g),Ave DLW (g),Ave LWF,Ave Leaf Length (mm),Ave Leaf Width (mm),Ave Petiol Length (mm),Ave Area (mm^2),Ave Perimeter (mm),Ave SLA (cm^2/g)
Acer rubrum,0.34,0.39,0.08,0.09,0.65,81.69,65.8,39.13,3058.62,334.15,317.18
Achillea millefolium,0.67,0.78,0.14,0.15,0.77,173.75,32.33,68.85,2017.59,834.67,158.11
Agropyron repens,0,0,0.04,0.04,0,0,0,0,497.66,0,134.27
Agrostis scabra,0,0,0.02,0.02,0,0,0,0,150.53,0,90.85
Ambrosia artemisiifolia,0.23,0.25,0.05,0.05,0.79,67.89,47.26,12.75,1134.98,528.8,261.91
Ambrosia coronopifolia,0.22,0.22,0.05,0.05,0.79,78.56,54.75,29.85,1037.09,601.03,187.48
Amorpha canescens,0.21,0.21,0.06,0.06,0.64,92.37,29.29,0,1326.85,764.14,181.48
Amphicarpa bracteata,0.11,0.12,0.03,0.03,0.76,61.8,57.73,35.11,1411.27,314.89,600.98
Andropogon gerardii,0.37,0.37,0.07,0.07,0.69,399.81,8.13,0,1363.4,817.37,180.41
Anemone cylindrica,0.31,0.41,0.11,0.14,0.67,47.57,55.05,99.92,1636.54,525.24,159.9
Apocynum androsaemifolium,0.15,0.15,0.05,0.05,0.67,53.9,22.08,3.03,873.04,139.13,192.85
Apocynum sibiricum,0.14,0.23,0.04,0.04,0.68,56.14,22.88,2.03,961.51,143.24,221.85
Arabis divaricarpa,0,0,0.01,0.01,0,0,0,0,125.08,0,208.47
Aristida basiramea,0.04,0.04,0,0,0.59,138.48,2.03,0,64.51,285.04,328.92
Artemisia ludoviciana,0.11,0.11,0.03,0.03,0.7,63.41,10.79,0,489.03,155.86,183.82
Asclepias ovalifolia,0.34,0.34,0.06,0.06,0.81,78.91,24.31,4.47,1450.46,205.44,272.96
Asclepias syriaca,1.32,1.34,0.16,0.16,0.83,109.03,45.75,6.82,3861.14,270.96,211.42
Asclepias tuberosa,0.11,0.11,0.02,0.02,0.75,65.4,8.28,3.57,435.15,150.16,187.31
Aster azureus,0.3,0.38,0.05,0.08,0.82,78.83,25.8,69.62,1325.55,179.03,252.63
Aster ericoides,0,0,0,0,0.67,0.52,0.07,0,0.03,1.16,0.28
Aster simplex,0.13,0.13,0.03,0.03,0.79,49.5,24.02,6.81,743.66,133.29,275.43
Berteroa incana,0,0,0,0,0,0,0,0,139.56,0,527.87
Bouteloua curtipendula,0.12,0.12,0.05,0.05,0.55,231.54,4.32,0,549.52,488.41,104.25
Bouteloua hirsuta,0.01,0.01,0,0,0.54,65.53,1.41,0,77.04,143.51,136.42
Bromus inermis,0.12,0.12,0.06,0.06,0.68,188.92,7.23,0,1047.41,401.02,203.41
Calamagrostis canadensis,0.16,0.16,0.06,0.06,0.6,240.15,6.81,7.69,1055.85,644.28,169.73
Calamovilfa longifolia,0.24,0.24,0.1,0.1,0.57,385.78,4.98,0,957.15,813.21,105.29
Campanula rotundifolia,0.02,0.02,0,0,0.79,58.74,2.68,0,100.6,132.04,245.32
Celastrus scandens,0.2,0.21,0.04,0.04,0.79,68.62,36.04,10.96,1490.93,197.39,377.12
Chenopodium album,0.07,0.08,0.02,0.02,0.75,32.71,17.94,13.84,372.94,88.08,204.45
Chenopodium leptophyllum,0.03,0.03,0,0,0.86,24.71,6.21,4.31,116.35,61.3,276.02
Chrysopsis villosa,0.06,0.06,0.02,0.02,0.58,24.05,6.24,0,148.12,58.46,50.56
Comandra richardsiana,0.02,0.02,0.01,0.01,0.7,23.32,6.98,0,126.54,53.91,179.61
Coreopsis palmata,0.08,0.08,0.02,0.02,0.71,49.03,28.8,0,338.42,183.6,138.18
Cornus racemosa,0.2,0.21,0.06,0.06,0.7,80.83,35.5,11.19,1797.39,242.12,311.94
Corylus americana,0.58,0.6,0.2,0.2,0.66,95.24,64.93,15.56,4130.01,336.72,225.77
Crepis tectorum,0.03,0.03,0.01,0.01,0,40.95,3.58,0,200.49,91.61,329.46
Desmodium canadense,0.26,0.26,0.07,0.07,0.69,69.01,81.08,6.83,1635.24,371.99,215.62
Desmodium glutinosum,0.45,0.46,0.12,0.12,0.73,82.72,71.42,0,3823.57,295.73,318.43
Elymus canadensis,0.19,0.19,0.08,0.08,0.62,196.43,10.55,0,1172.18,442.94,168.51
Eragrostis spectabilis,0.11,0.11,0.04,0.04,0.61,174.78,6.85,0,627.33,380.83,150.22
Erechtites hieracifolia,0.21,0.22,0.01,0.01,0.94,80.45,26.46,0,1262.54,257.57,2262.97
