accSppName,habit
Acer negundo,woody
Acer rubrum,woody
Acer saccharum,woody
Achillea millefolium,herbaceous
Actaea pachypoda,herbaceous
Actaea rubra,herbaceous
Adiantum pedatum,herbaceous
Agastache foeniculum,herbaceous
Agastache nepetoides,herbaceous
Agastache scrophulariifolia,herbaceous
Ageratina altissima,herbaceous
Ageratina altissima var. altissima,herbaceous
Agrimonia gryposepala,herbaceous
Agrostis perennans,herbaceous
Alliaria petiolata,herbaceous
Allium canadense,herbaceous
Allium cernuum,herbaceous
Amaranthus blitoides,herbaceous
Ambrosia artemisiifolia,herbaceous
Ambrosia psilostachya,herbaceous
Amelanchier interior,woody
Amelanchier spp.,woody
Amorpha canescens,herbaceous
Amorpha fruticosa,herbaceous
Amphicarpaea bracteata,herbaceous
Andropogon gerardii,herbaceous
Anemone canadensis,herbaceous
Anemone cylindrica,herbaceous
Anemone quinquefolia,herbaceous
Anemone virginiana,herbaceous
Antennaria parlinii,herbaceous
Antennaria spp.,herbaceous
Apocynum androsaemifolium,herbaceous
Apocynum cannabinum,herbaceous
Aquilegia canadensis,herbaceous
Arabidopsis lyrata,herbaceous
Aralia nudicaulis,herbaceous
Arctium minus,herbaceous
Arisaema triphyllum,herbaceous
Arnoglossum atriplicifolium,herbaceous
Arnoglossum plantagineum,herbaceous
Artemisia campestris,herbaceous
Artemisia frigida,herbaceous
Artemisia ludoviciana,herbaceous
Asclepias exaltata,herbaceous
Asclepias incarnata,herbaceous
Asclepias syriaca,herbaceous
Asclepias tuberosa,herbaceous
Asclepias verticillata,herbaceous
Asparagus officinalis,herbaceous
Astragalus canadensis,herbaceous
Athyrium filix-femina,herbaceous
Aureolaria grandiflora,herbaceous
Baptisia alba,herbaceous
Baptisia australis,herbaceous
Baptisia bracteata,herbaceous
Baptisia lactea,herbaceous
Berberis thunbergii,woody
Besseya bullii,herbaceous
Bidens frondosa,herbaceous
Bidens spp.,herbaceous
Blephilia hirsuta,herbaceous
Boltonia asteroides,herbaceous
Botrypus virginianus,herbaceous
Bouteloua curtipendula,herbaceous
Bouteloua gracilis,herbaceous
Bouteloua hirsuta,herbaceous
Brickellia eupatorioides,herbaceous
Bromus ciliatus,herbaceous
Bromus kalmii,herbaceous
Bromus latiglumis,herbaceous
Bromus pubescens,herbaceous
Bromus spp.,herbaceous
Cacalia muehlenbergii,herbaceous
Calamagrostis canadensis,herbaceous
Calystegia sepium,herbaceous
Camassia scilloides,herbaceous
Campanula americana,herbaceous
Campanula rotundifolia,herbaceous
Carex bicknellii,herbaceous
Carex blanda,herbaceous
Carex brevior,herbaceous
Carex grisea,herbaceous
Carex molesta,herbaceous
Carex normalis,herbaceous
Carex pensylvanica,herbaceous
Carex radiata,herbaceous
Carex spp.,herbaceous
Carex sprengelii,herbaceous
Carya cordiformis,woody
Carya ovata,woody
Caulophyllum thalictroides,herbaceous
Ceanothus americanus,herbaceous
Celastrus orbiculatus,woody
Celastrus scandens,woody
Celtis occidentalis,woody
Chamaecrista fasciculata,herbaceous
Chenopodium album,herbaceous
Cimicifuga racemosa,herbaceous
