site,ACENEG,ACHMIL,ACTPAC,ACTRUB,AGRGRY,AGRREP,AGRTRA,ALLCER,AMBART,AMBPSI,AMESPP,AMOCAN,AMOFRU,AMPBRA,ANDGER,ANECYL,ANEQUI,ANEVIR,ANTSPP,APIAME,APOAND,APOCAN,AQUCAN,ARBLYR,ARANUD,ARCUVA,ARITRI,AROMEL,ARTCAM,ARTFRI,ASCAMP,ASCEXA,ASCSYR,ASCTUB,ASCVER,ASCVIR,ASPOFF,SYMOOL,SYMERI,SYMLAE,SYMLAT,IONLIN,SYMMAC,SYMNOV,SYMOBL,SYMSER,SYMSHO,SYMURO,ASTCAN,ATHFIL,AURFLA,AURGRA,AURSPP,BAPLAC,BAPLEU,BESBUL,BIDSPP,BLECIL,BOTMUL,BOTVIR,BOUCUR,BOUHIR,BRIEUP,BROKAL,CACPLA,CALCAN,CALSEP,CAMAME,CAMROT,CARCEP,CARCON,CARLAX,CARMUH,CARPAU,CARPEN,CARSPP,CAROVA,CASFAS,CASSES,CEAAME,CELSCAN,CHIUMB,CIRLUT,CIRALT,CIRCAN,CIRDIS,CLEVIR,COMUMB,CORPAL,CORALT,CORRAC,CORRUG,CORSEM,CORAME,CRASPP,CRYCAN,CYPSPP,CYPSPP,CYSFAG,DALCAN,DALPUR,DANSPI,DESCAN,DESGLU,DESILL,DICACU,DICLAT,DICLEI,DICLIN,DICOLI,DIELON,DIGCOG,DIOVIL,DODMEA,DRYMAR,ELYCAN,ELYVIL,EQULAE,EREHIE,ERIPHI,ERIPUL,ERISTR,ERYYUC,EUPPER,EUPRUG,EUPCOR,EUTGRA,FRAVIR,GALAPA,GALBOR,GALCON,GALTRI,GAYBAC,GENAND,GENPUB,GERMAC,GEUALE,GEUCAN,GETRI,GLYSTR,GNAOBT,HEDHIS,HELCAN,HELSPP,HELGRO,HELOCC,HELRIG,HELSTR,HELHEL,HEPNOB,HEURIC,HIELON,HYPHIR,HYSPAT,JUNHOR,JUNVIR,KOECRI,KRIBIF,LACBIE,LACCAN,LACLUD,LATOCH,LATPAL,LATVEN,LECTEN,LESCAP,LIAASP,LIACYL,LIAPYC,LIASPI,LILPHI,LILSUP,LINSUL,LIPLIL,LITCAN,LITCAR,LITINC,LOBSPI,LONDIO,LONOBL,LONPRO,LUPPER,LUZCAM,LYSCIL,LYSLAN,LYSQUA,LYSQUD,MAICAN,MALLOE,MELALB,MINMIC,MOELAT,MONFIS,MONPUN,MONUNI,MUHCUS,MUHFRO,MUHRAC,MYRGAL,OENBIE,OENFRU,OPUHUM,OROUNI,OSMCLA,OSMLON,OSUCLA,OXAVIO,OXYRIG,PANTRI,PANVIR,PARPEN,PARQUI,PEDCAN,PELATR,PENGRA,PENSED,PHLPRA,PHLPIL,PHRLEP,PHYHET,PHYVIR,PHYOPU,POACOM,POAPRA,PODPEL,POLPOL,POLSAN,POLSEN,POLVER,POLBIF,POLPUB,POLCON,POLVIR,POLSPP,POPTRE,POTARG,POTCAN,POTSIM,PREALB,PRERAC,PRUVUL,PRUPUM,PRUSER,PRUVIR,PTEAQU,PULPAT,PYCVIR,PYRAME,PYRELL,QUEALB,QUEMAC,QUEVEL,RANABO,RANFAS,RATPIN,RHUGLA,RHUTYP,RIBCYN,ROSSPP,RUBALL,RUBHIS,RUBIDE,RUBSPP,RUDHIR,RUDSUB,RUMACE,SALHUM,SALSPP,SAMCAN,SANCAN,SANGRE,SANMAR,SAXPEN,SCHSCO,SCRLAN,SCUPAR,SELRUP,SENAUR,SILANT,SILSTE,SILINT,SILLAC,SILTER,SISCAM,SIUSUA,SMIRAC,SMISTE,SMIECI,SMIHER,SOLDUL,SOLCAN,SOLFLE,SOLGIG,SOLJUN,SOLMIS,SOLNEM,SOLPTA,SOLRIG,SOLSPE,SOLULM,SORNUT,SPAPEC,SPOCRY,SPOHET,SPOVAG,STATRI,STISPA,SYMOCC,TAEINT,TALRUG,TAROFF,TARSPP,TEPVIR,THADAS,THADIO,TOXRAD,TRAOHI,TRASPP,TRIBOR,TRIGRA,TRIPER,TRIPEF,UVUGRA,VACANG,VALEDU,VERSTR,VERVIR,VIBRAF,VICAME,VICCAR,VICSAT,VIOCON,VIOOBL,VIOPED,VIOPAA,VIOPUB,VIOSAG,VITRIP,WOOILV,ZANAME,ZIGELE,ZIZAPT,ZIZAUR
1136_1950,5,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,1,0,15,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,5,0,0,0,30,0,0,0,0,0,0,0,25,5,0,0,0,0,0,5,35,0,0,45,0,1,0,5,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,5,1,0,0,1,0,1,0,25,70,1,5,5,0,0,0,95,0,5,0,30,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,35,0,0,0,0,10,15,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,35,0,0,0,0,25,15,0,35,0,1,0,0,0,10,0,1,0,0,0,15,5,10,45,0,0,10,0,0,1,1,20,90,0,1,0,0,0,0,0,0,0,0,0,1,0,1,30,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,45,20,0,0,0,55,0,5,0,0,0,0,0,0,10,0,0,0,1,0,0,1,5,10,0,0,0,0,5
1137_1950,0,0,0,0,1,0,0,0,0,0,0,65,0,55,0,10,0,0,15,0,20,0,10,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,1,10,1,5,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,55,0,1,0,0,0,0,0,40,0,1,1,0,0,0,0,10,0,0,0,35,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,5,0,0,1,0,0,0,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0,15,5,0,0,0,0,5,10,0,5,0,0,0,0,0,5,0,0,0,0,0,20,10,5,0,10,30,0,10,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,10,30,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,15,0,5,0,0,1,0,0,0,0,0
1138_1950,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,5,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,20,0,0,0,0,0,1,1,0,10,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5,0,1,0,0,0,0,0,10,0,0,0,0,5,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0,15,10,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1141_1950,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,1,20,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,20,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,40,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1143_1950,0,1,0,0,0,0,0,0,0,0,0,40,0,0,1,5,0,0,10,0,40,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,5,0,0,0,0,25,0,10,0,0,0,0,0,20,20,0,0,0,0,80,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,85,0,0,0,0,0,0,0,0,1,20,5,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,35,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
1144_1950,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30,0,0,0,0,0,0,0,0,20,0,1,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,55,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,40,0,30,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,10,0,0,0,55,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1145_1950,0,1,0,0,0,0,0,0,1,0,0,5,0,10,1,5,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,5,0,0,0,0,0,0,0,5,1,0,5,0,0,1,5,0,0,0,0,0,1,0,0,0,1,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,1,5,0,0,1,0,5,0,1,1,0,0,0,0,20,0,0,15,21,0,5,1,0,1,0,0,5,0,0,0,0,1,10,0,0,0,1,10,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,5,79,0,0,0,0,0,10,0,0,0,0,5,5,1,0,0,0,0,0,10,15,0,1,0,0,0,5,5,0,0,21,0,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,10,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,16,0,0,0,10,1,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,21,0,0,1,0,0
1146_1950,0,10,0,0,0,0,15,0,0,0,0,10,1,0,0,0,55,0,10,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,1,0,0,0,10,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,0,45,30,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,1,0,5,0,0,55,0,25,0,85,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,25,0,0,0,0,0,0,15,0,25,10,10,0,5,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,30,1,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,85,0,0,0,0,0,10,5,0,0,0,0,5,0,5,10,5,0,0,10,0,0,0,5,0,0,0,0,0,0,0,10,1,0,0,40,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,0,30,35,5,5,0,0,0,5,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,1,15,0,0,0,0,0,0,0,0,0,1,0,15,5,0,0,10,0,0,0,10,1,0,0,0,0,5
1147_1950,0,0,0,0,0,0,0,0,0,0,0,12,0,0,68,12,0,0,12,0,0,0,0,19,0,0,0,0,12,0,0,0,6,0,0,0,0,6,0,0,0,62,0,0,0,0,0,19,0,0,0,12,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,56,6,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,25,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,50,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,6,0,0,0,0,0,0
1148_1950,0,0,0,0,0,0,0,0,5,0,0,30,0,0,5,15,5,0,5,0,1,0,25,10,10,0,0,0,10,0,0,0,1,1,0,0,10,1,0,5,0,0,0,0,1,1,5,40,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,35,0,10,0,5,0,0,8,1,0,45,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,30,0,1,0,1,5,10,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,5,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,1,5,0,0,20,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,10,10,5,0,0,0,15,15,0,0,0,5,15,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,25,5,0,0,0,0,0,0,5,1,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,5,0,25,30,5,5,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,10,1,10,0,0,30,0,0,0,0,0
