site,sppcode,freq
1146_2014,ACTRUB,10
1146_2014,AGRGRY,7.5
1146_2014,ALLPET,60
1146_2014,ANEQUI,12.5
1146_2014,APOCAN,2.5
1146_2014,ARANUD,40
1146_2014,ARCMIN,5
1146_2014,ASCSCL,2.5
1146_2014,ASTCIL,5
1146_2014,ASTLAT,7.5
1146_2014,BIDFRO,5
1146_2014,BOTVIR,15
1146_2014,CARBLA,2.5
1146_2014,CAROVA,2.5
1146_2014,CARPEN,37.5
1146_2014,CARSPP,5
1146_2014,CELSCA,2.5
1146_2014,CIRLUT,70
1146_2014,CORAME,12.5
1146_2014,CORRAC,32.5
1146_2014,CRYCAN,27.5
1146_2014,DESGLU,62.5
1146_2014,ELYHYS,5
1146_2014,EREHIE,2.5
1146_2014,ERIANN,2.5
1146_2014,FESOBT,10
1146_2014,FRAVIR,2.5
1146_2014,GALBOR,20
1146_2014,GALCIR,17.5
1146_2014,GALCON,15
1146_2014,GALTRI,60
1146_2014,GERMAC,60
1146_2014,GEUCAN,50
1146_2014,HACVIR,20
1146_2014,HELGRO,2.5
1146_2014,HELSTR,42.5
1146_2014,IMPCAP,10
1146_2014,LACCAN,17.5
1146_2014,LEOCAR,5
1146_2014,MAICAN,2.5
1146_2014,MUHGLO,5
1146_2014,OSMCLA,2.5
1146_2014,OSMLON,7.5
1146_2014,PARQUI,17.5
1146_2014,PETALB,2.5
1146_2014,PHAARU,20
1146_2014,PHRLEP,72.5
1146_2014,POLBIF,12.5
1146_2014,POTSIM,7.5
1146_2014,PRUSER,12.5
1146_2014,PRUVIR,5
1146_2014,PYRELI,5
1146_2014,QUEELI,2.5
1146_2014,QUEVEL,2.5
1146_2014,RANABO,2.5
1146_2014,RHACAT,47.5
1146_2014,RHAFRA,5
1146_2014,RIBAME,2.5
1146_2014,ROSCAR,5
1146_2014,ROSMUL,2.5
1146_2014,RUBALL,45
1146_2014,RUBIDE,32.5
1146_2014,RUBOCC,7.5
1146_2014,RUBPUB,12.5
1146_2014,SAMCAN,2.5
1146_2014,SANCAN,42.5
1146_2014,SILLAS,2.5
1146_2014,SILSTE,5
1146_2014,SMIECI,5
1146_2014,SMILAS,12.5
1146_2014,SMIRAC,10
1146_2014,SOLALT,5
1146_2014,SOLDUL,2.5
1146_2014,SOLGIG,2.5
1146_2014,SYMDRU,15
1146_2014,TAROFF,5
1146_2014,THADIO,15
1146_2014,ULMAME,5
1146_2014,URTDIO,5
1146_2014,VIOPUB,10
1146_2014,VIOSOR,42.5
1146_2014,VITRIP,12.5
1146_2014,ZANAME,52.5
1188_2014,ACESAC,30
1188_2014,ADIPED,10
1188_2014,AMPBRA,20
1188_2014,ANEQUI,5
1188_2014,ANEVIR,15
1188_2014,ATHFIL,20
1188_2014,CARBLA,5
1188_2014,CAROVA,10
1188_2014,CELOCC,5
1188_2014,CIRLUT,25
1188_2014,DESGLU,50
1188_2014,FRAAME,10
1188_2014,GALCON,5
1188_2014,GALTRI,5
1188_2014,GERMAC,10
1188_2014,IMPCAN,5
1188_2014,LAPCAN,25
1188_2014,LEEVIR,5
1188_2014,LONMAA,5
1188_2014,OSMCLA,20
1188_2014,OSMLON,15
1188_2014,PARQUI,80
1188_2014,PHRLEP,45
1188_2014,POLBIF,10
1188_2014,PRUSER,15
1188_2014,RHACAT,5
1188_2014,RIBSPP,20
1188_2014,SANMAR,40
1188_2014,SMIHER,5
1188_2014,SMILAC,25
1188_2014,SOLSPP,10
1188_2014,SYMCOR,5
1188_2014,TILAME,5
1188_2014,TOXRAD,30
1188_2014,ULMAME,15
1188_2014,ULMRUB,20
1188_2014,VITRIP,20
1188_2014,ZANAME,15
