site,ACENEG,ACERUB,ACHCAN,ACTRUB,ADIPED,AGRGRY,ALLPET,Alt clasping blueish thick leaf,Alt shrub clastous?,AMBLI,AMBART,AMEINT,AMOCAN,AMPBRA,ANDGER,ANEQUI,ANEVIR,ANTPAR,AQUCAN,ARCMIN,ARCMIN,ARANUD,ARITRI,ASCEXA,ASPOFF,ASTDRU,ASTLAT,ASTVIR,BERTHU,BIDFRO,Blueish fern,BOTVIR,BOUCUR,BROMUS,CAMAME,CARBLA,CARBRE,CARCOR,CAROVA,CARPEN,CARRAD,Carrot fern,CAUTHA,CELOCC,CELORB,CELSCA,CHEALB,CIRLUT,CLEVIR,COMUMB,CORALT,CORRAC,CRYCAN,CYSBOL,DESGLU,DICOLY,DIOVIL,ELYHYS,ELYVIR,EPIHEL,EUOEUR,EUPCOR,EUPRUG,EUTPUR,FESCUE,Fine zigzag grass,FRAAME,FRAPEN,FRAVES,FRAVIR,Fuzzy sheath grass,GALBOR,GALCON,GALTRI,GAYBAC,GERMAC,GEUCAN,HAVCIR,HELHEL,HELSTR,HEPROT,HEURIC,HIEUMB,IMPCAP,JUGNIG,JUNVIR,LACBIE,LACSER,LEEVIR,LEOCAR,Lg fleshy shoot,LONBEL,LONMAA,LOTCOR,LUPPER,LYSQUA,MAICAN,MENCAN,MONFIS,MONUNI,MORALB,NEPCAT,OSMCLA,OSMLON,OSTVIR,OXASTR,PARQUI,PERMAC,PHAARU,PHRLEP,PHYHET,PHYOPU,PILPUM,POAPRA,PODPEL,POLBIF,POPGRA,POPTRE,POTREC,POTSIM,PREALB,PRUSER,PRUVIR,PTEAQU,QUEALB,QUEMAC,QUEVEL,RANABO,RANRAC,RATPIN,RHACAT,RHAFRA,RHUGLA,RIBAME,RIBCYN,RIBLAC,RIBMIS,ROSSPP,ROSMUL,RUBALL,RUBHIS,RUBIDE,RUBOCC,RUBRAD,RUBTRI,RUMACE,SANCAN,SANMAR,SCHSCO,Serate Berberus,Small wide grass,SMIHER,SMILAS,SMIRAC,SMISTE,SOLCAN,SOLFLE,SOLGIG,SOLULM,STEMED,STRVIR,SYMLAT,SYMURO,TAROFF,THADIO,TILAME,TOXRAD,TRAOHI,ULMAME,ULMRUB,URTDIO,UVUGRA,VACANG,VIBLEN,VIOPED,VIOPUB,VIOSAG,VIOSOR,VIOSPP,VITRIP,ZANAME
1145_2014,0,0,0,0,0,0,22.5,0,0,0,0,0,0,10,0,2.5,0,0,0,0,0,0,7.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,37.5,0,0,0,0,0,0,0,67.5,0,0,0,7.5,0,0,22.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,5,0,0,25,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,5,2.5,0,0,2.5,0,25,10,0,0,0,0,0,0,0,37.5,2.5,0,0,2.5,0,0,0,0,2.5,0,7.5,17.5,0,0,0,0,0,0,0,0,2.5,2.5,27.5,0,0,0,0,0,0,0,0,0,2.5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,30,30
1147_2014,0,0,0,0,0,0,0,0,0,0,5,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,95,0,0,0,0,0,0,0,0,0,40,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,5,0,30,5,40,45,0,50,0,0,0,10,0,5,0,0,0,0,5,0,20,5,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,5,0,0,5,0
1148_2014,0,6.666666667,23.33333333,0,0,6.666666667,23.33333333,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,3.333333333,16.66666667,0,0,3.333333333,6.666666667,3.333333333,0,0,0,10,0,0,0,23.33333333,0,10,6.666666667,20,0,0,0,10,0,3.333333333,0,20,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,10,23.33333333,0,16.66666667,13.33333333,13.33333333,0,0,0,0,0,0,10,0,0,0,0,0,0,0,73.33333333,0,0,0,0,0,0,0,3.333333333,0,6.666666667,10,3.333333333,0,53.33333333,0,0,30,0,0,0,0,0,3.333333333,0,0,0,0,0,26.66666667,3.333333333,0,0,0,10,0,3.333333333,0,73.33333333,0,0,0,10,0,0,0,6.666666667,0,0,0,0,0,0,0,0,13.33333333,0,0,0,0,20,33.33333333,0,0,0,0,0,0,3.333333333,0,0,6.666666667,0,3.333333333,10,0,3.333333333,10,0,3.333333333,0,0,0,16.66666667,0,0,0,3.333333333,43.33333333
1157_2014,0,0,0,0,0,16,20,0,0,12,0,0,0,28,0,52,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,48,0,0,20,52,0,0,0,20,0,0,0,36,4,0,4,0,8,0,48,0,0,0,0,0,4,0,32,0,0,0,0,0,0,0,0,4,0,8,0,28,4,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,28,16,0,0,80,0,0,56,0,0,0,0,0,8,0,0,4,0,0,16,4,0,0,0,16,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,0,0,0,24,16,0,0,0,0,0,8,0,0,20,4,0,0,0,52,0,12,20,0,0,0,0,0,0,0,0,12,36,80
1160_2014,4,8,0,0,0,0,12,0,0,4,0,0,0,0,0,16,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,12,24,0,0,0,52,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,52,0,0,16,20,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,12,0,12,4,56,0,0,0,4,0,0,0,0,12,0,0,0,0,0,20,4,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,20,0,0,24,0,28,0,0,0,0,0,0,0,0,4,0,16,72
1162_2014,0,2.5,0,0,0,0,2.5,0,2.5,0,0,2.5,0,2.5,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,5,37.5,0,0,0,0,0,0,0,37.5,0,0,0,10,0,0,7.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,12.5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,15,10,0,0,0,0,0,0,0,37.5,0,0,0,2.5,0,0,0,0,20,0,0,7.5,2.5,0,0,0,0,0,0,0,2.5,0,35,0,0,0,0,2.5,0,0,0,0,0,0,0,5,0,2.5,0,0,0,0,2.5,0,0,0,2.5,0,20,40
1163_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,0,11.53846154,0,0,7.692307692,0,3.846153846,0,3.846153846,0,0,0,0,0,0,0,0,0,3.846153846,0,0,23.07692308,0,0,0,19.23076923,0,0,0,50,0,0,0,11.53846154,0,0,0,0,0,0,19.23076923,3.846153846,0,0,0,0,0,0,38.46153846,3.846153846,0,7.692307692,0,0,0,0,3.846153846,3.846153846,0,30.76923077,0,0,3.846153846,3.846153846,0,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,50,0,0,0,0,0,11.53846154,0,0,0,0,0,0,0,53.84615385,0,0,38.46153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,3.846153846,88.46153846,0,0,0,0,0,0,0,0,0,0,0,23.07692308,0,11.53846154,0,3.846153846,0,3.846153846,0,0,0,0,11.53846154,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,3.846153846,0,0,3.846153846,0,23.07692308,3.846153846
1165_2014,0,0,0,0,0,0,69.56521739,0,0,0,21.73913043,0,0,39.13043478,0,0,8.695652174,0,43.47826087,0,0,0,26.08695652,0,0,0,0,0,0,13.04347826,13.04347826,0,0,0,0,13.04347826,0,0,4.347826087,43.47826087,0,0,0,4.347826087,0,0,0,39.13043478,0,0,0,0,8.695652174,0,43.47826087,0,0,4.347826087,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,0,8.695652174,0,21.73913043,30.43478261,0,0,4.347826087,0,0,8.695652174,17.39130435,0,4.347826087,0,0,0,21.73913043,0,0,0,4.347826087,0,0,0,0,0,0,0,0,21.73913043,17.39130435,0,8.695652174,56.52173913,4.347826087,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,4.347826087,0,0,43.47826087,0,0,4.347826087,0,0,0,4.347826087,17.39130435,0,0,17.39130435,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,4.347826087,0,0,0,0,0,0,0,0,0,4.347826087,0,8.695652174,0
1166_2014,0,0,0,0,5,0,5,5,0,0,0,0,0,75,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,45,0,0,0,0,0,0,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,5,15,0,0,0,0,20,0,0,0,0,20,0,0,10,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,5,5,0,85,0,20,15,0,5,0,0,5,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,50,0,0,0,0,0,0,0,0,5,35,5,0,0,25,0,35,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,0,0,0,5,0,55,0
1187_2014,0,0,0,0,0,0,5,0,0,10,5,0,0,40,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,10,25,0,5,5,70,0,0,5,45,0,0,0,0,0,0,20,0,0,10,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0,15,0,0,20,5,0,0,0,0,0,0,10,5,0,0,10,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,0,30,60,0,0,50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,55,0,0,0,5,45,5,0,15,40,0,0,0,0,0,10,15,0,0,10,0,0,15,0,0,0,0,0,0,0,45,0,55,40
