"","longsite","spp","pres","sitenum","owner","site","habitat","Year","timing"
"2","1_prairie_1950","ACENEG",0,"1","CB","CB1","prairie",1950,"then"
"3","1_prairie_1950","ACHMIL",0,"1","CB","CB1","prairie",1950,"then"
"4","1_prairie_1950","ALLSTE",0,"1","CB","CB1","prairie",1950,"then"
"5","1_prairie_1950","AMBART",0,"1","CB","CB1","prairie",1950,"then"
"6","1_prairie_1950","AMOCAN",1,"1","CB","CB1","prairie",1950,"then"
"7","1_prairie_1950","ANDGER",1,"1","CB","CB1","prairie",1950,"then"
"8","1_prairie_1950","ANECAN",0,"1","CB","CB1","prairie",1950,"then"
"9","1_prairie_1950","ANECYL",1,"1","CB","CB1","prairie",1950,"then"
"10","1_prairie_1950","ANGATR",0,"1","CB","CB1","prairie",1950,"then"
"11","1_prairie_1950","APIAME",0,"1","CB","CB1","prairie",1950,"then"
"12","1_prairie_1950","APOAND",1,"1","CB","CB1","prairie",1950,"then"
"13","1_prairie_1950","APOCAN",0,"1","CB","CB1","prairie",1950,"then"
"14","1_prairie_1950","ASCSYR",0,"1","CB","CB1","prairie",1950,"then"
"15","1_prairie_1950","ASCVER",0,"1","CB","CB1","prairie",1950,"then"
"16","1_prairie_1950","ASTCAN",1,"1","CB","CB1","prairie",1950,"then"
"17","1_prairie_1950","BRIEUP",1,"1","CB","CB1","prairie",1950,"then"
"18","1_prairie_1950","BROINE",0,"1","CB","CB1","prairie",1950,"then"
"19","1_prairie_1950","CALSEP",0,"1","CB","CB1","prairie",1950,"then"
"20","1_prairie_1950","CARACA",0,"1","CB","CB1","prairie",1950,"then"
"21","1_prairie_1950","CARMEA",0,"1","CB","CB1","prairie",1950,"then"
"22","1_prairie_1950","CENSTO",0,"1","CB","CB1","prairie",1950,"then"
"23","1_prairie_1950","CICINT",0,"1","CB","CB1","prairie",1950,"then"
"24","1_prairie_1950","CIRDIS",0,"1","CB","CB1","prairie",1950,"then"
"25","1_prairie_1950","CONCAN",0,"1","CB","CB1","prairie",1950,"then"
"26","1_prairie_1950","CORPAL",1,"1","CB","CB1","prairie",1950,"then"
"27","1_prairie_1950","CORRAC",0,"1","CB","CB1","prairie",1950,"then"
