"","spp","site","extinct"
"1","ACENEG","CB1157",1
"2","ACENEG","CB20",0
"3","ACHMIL","CB10",1
"4","ACHMIL","CB105",1
"5","ACHMIL","CB107",1
"6","ACHMIL","CB111",1
"7","ACHMIL","CB114",1
"8","ACHMIL","CB1146",1
"9","ACHMIL","CB115",0
"10","ACHMIL","CB1165",1
"11","ACHMIL","CB117",1
"12","ACHMIL","CB120",0
"13","ACHMIL","CB14",1
"14","ACHMIL","CB15",0
"15","ACHMIL","CB16",1
"16","ACHMIL","CB170",1
"17","ACHMIL","CB179",1
"18","ACHMIL","CB20",1
"19","ACHMIL","CB200",0
"20","ACHMIL","CB21",0
"21","ACHMIL","CB27",1
"22","ACHMIL","CB30",0
"23","ACHMIL","CB37",1
"24","ACHMIL","CB50",1
"25","ACHMIL","CB51",1
"26","ACHMIL","CB52",0
"27","ACHMIL","CB55",0
"28","ACHMIL","CB56",0
"29","ACHMIL","CB58",1
"30","ACHMIL","CB6",0
"31","ACHMIL","CB64",0
"32","ACHMIL","CB69",1
"33","ACHMIL","CB7",1
"34","ACHMIL","CB73",0
"35","ACHMIL","CB74",1
"36","ACHMIL","CB75",1
"37","ACHMIL","CB86",0
"38","ACHMIL","CB9",0
"39","ACHMIL","CB98",0
"40","ACHMIL","W20",0
"41","ACHMIL","W8",0
"42","ACTPAC","CB1206",1
"43","ACTRUB","CB1206",0
"44","AGRGRY","CB1206",1
"45","ALLCAN","CB13",1
"46","ALLCAN","CB14",1
"47","ALLCAN","CB26",1
"48","ALLCAN","CB37",1
"49","ALLCAN","CB53",0
"50","ALLCAN","CB55",0
"51","ALLCAN","W10",0
"52","ALLCAN","W41",0
"53","ALLCAN","W51",1
"54","ALLCAN","W8",1
"55","ALLCER","CB115",1
"56","ALLCER","W49",0
"57","ALLCER","W51",1
"58","ALLCER","W8",1
"59","AMBART","CB105",1
"60","AMBART","CB109",0
"61","AMBART","CB111",0
"62","AMBART","CB1148",1
"63","AMBART","CB115",0
"64","AMBART","CB1160",1
"65","AMBART","CB1162",1
"66","AMBART","CB1165",0
"67","AMBART","CB14",1
"68","AMBART","CB15",0
"69","AMBART","CB16",0
"70","AMBART","CB21",1
"71","AMBART","CB30",0
"72","AMBART","CB35",0
"73","AMBART","CB37",0
"74","AMBART","CB50",0
"75","AMBART","CB51",0
"76","AMBART","CB53",0
"77","AMBART","CB54",1
"78","AMBART","CB55",0
"79","AMBART","CB57",0
"80","AMBART","CB58",1
"81","AMBART","CB6",0
"82","AMBART","CB64",0
"83","AMBART","CB66",1
"84","AMBART","CB7",0
"85","AMBART","CB74",0
"86","AMBART","CB75",0
"87","AMBART","CB76",0
"88","AMBART","CB80",1
"89","AMBART","CB86",0
"90","AMBART","CB89",1
"91","AMBART","CB9",1
"92","AMBART","CB98",0
"93","AMBART","W20",1
"94","AMBART","W30",1
"95","AMBART","W41",0
"96","AMBART","W49",1
"97","AMBART","W58",0
"98","AMBART","W8",1
"99","AMBPSI","CB1160",1
"100","AMBPSI","CB174",1
"101","AMBPSI","CB175",1
"102","AMBPSI","CB26",1
"103","AMBPSI","CB66",1
"104","AMBTRI","W56",1
"105","AMBTRI","W8",1
"106","AMESPP","CB1189",1
"107","AMOCAN","CB1",1
"108","AMOCAN","CB102",1
"109","AMOCAN","CB103",1
"110","AMOCAN","CB105",1
"111","AMOCAN","CB107",1
"112","AMOCAN","CB109",1
"113","AMOCAN","CB11",1
"114","AMOCAN","CB1145",1
"115","AMOCAN","CB1146",1
"116","AMOCAN","CB1147",0
"117","AMOCAN","CB1148",1
"118","AMOCAN","CB115",1
"119","AMOCAN","CB1157",1
"120","AMOCAN","CB1160",1
"121","AMOCAN","CB1162",1
"122","AMOCAN","CB1163",1
"123","AMOCAN","CB1166",1
"124","AMOCAN","CB1187",1
"125","AMOCAN","CB1188",1
"126","AMOCAN","CB1190",1
"127","AMOCAN","CB1194",1
"128","AMOCAN","CB12",1
"129","AMOCAN","CB120",0
"130","AMOCAN","CB121",0
"131","AMOCAN","CB14",1
"132","AMOCAN","CB15",1
"133","AMOCAN","CB16",1
"134","AMOCAN","CB170",1
"135","AMOCAN","CB174",0
"136","AMOCAN","CB175",0
"137","AMOCAN","CB18",1
"138","AMOCAN","CB199",1
"139","AMOCAN","CB2",1
"140","AMOCAN","CB20",1
"141","AMOCAN","CB21",0
"142","AMOCAN","CB22",1
"143","AMOCAN","CB26",1
"144","AMOCAN","CB27",1
"145","AMOCAN","CB30",0
"146","AMOCAN","CB41",0
"147","AMOCAN","CB5",1
"148","AMOCAN","CB51",1
"149","AMOCAN","CB53",1
"150","AMOCAN","CB54",0
"151","AMOCAN","CB55",1
"152","AMOCAN","CB56",1
"153","AMOCAN","CB57",0
"154","AMOCAN","CB58",1
"155","AMOCAN","CB6",1
"156","AMOCAN","CB62",1
"157","AMOCAN","CB64",1
"158","AMOCAN","CB66",1
"159","AMOCAN","CB68",1
"160","AMOCAN","CB7",1
"161","AMOCAN","CB74",1
"162","AMOCAN","CB75",1
"163","AMOCAN","CB76",0
"164","AMOCAN","CB80",0
"165","AMOCAN","CB86",0
"166","AMOCAN","CB89",0
"167","AMOCAN","CB9",0
"168","AMOCAN","CB98",0
"169","AMOCAN","W10",1
"170","AMOCAN","W45",1
"171","AMOCAN","W56",1
"172","AMOCAN","W58",1
"173","AMOCAN","W8",1
"174","AMPBRA","CB10",1
"175","AMPBRA","CB1145",0
"176","AMPBRA","CB1157",0
"177","AMPBRA","CB1163",0
"178","AMPBRA","CB1165",0
"179","AMPBRA","CB117",1
"180","AMPBRA","CB1187",0
"181","AMPBRA","CB1188",0
"182","AMPBRA","CB1189",1
"183","AMPBRA","CB1190",0
"184","AMPBRA","CB1194",1
"185","AMPBRA","CB1206",0
"186","AMPBRA","CB15",1
"187","AMPBRA","CB62",1
"188","AMPBRA","W56",1
"189","AMPBRA","W58",1
"190","ANDGER","CB1",1
"191","ANDGER","CB10",0
"192","ANDGER","CB102",1
"193","ANDGER","CB103",1
"194","ANDGER","CB105",1
"195","ANDGER","CB107",0
"196","ANDGER","CB109",1
"197","ANDGER","CB11",1
"198","ANDGER","CB111",0
"199","ANDGER","CB1147",0
"200","ANDGER","CB1148",1
"201","ANDGER","CB115",0
"202","ANDGER","CB1157",1
"203","ANDGER","CB1160",1
"204","ANDGER","CB1162",1
"205","ANDGER","CB1163",1
"206","ANDGER","CB1165",1
"207","ANDGER","CB117",0
"208","ANDGER","CB118",0
"209","ANDGER","CB1187",1
"210","ANDGER","CB1188",1
"211","ANDGER","CB1189",1
"212","ANDGER","CB1190",1
"213","ANDGER","CB1194",1
"214","ANDGER","CB12",1
"215","ANDGER","CB120",0
"216","ANDGER","CB121",1
"217","ANDGER","CB13",1
"218","ANDGER","CB14",0
"219","ANDGER","CB15",1
"220","ANDGER","CB16",1
"221","ANDGER","CB165",1
"222","ANDGER","CB170",1
"223","ANDGER","CB174",0
"224","ANDGER","CB175",0
"225","ANDGER","CB179",0
"226","ANDGER","CB18",1
"227","ANDGER","CB199",1
"228","ANDGER","CB2",1
"229","ANDGER","CB20",1
"230","ANDGER","CB200",0
"231","ANDGER","CB21",0
"232","ANDGER","CB22",1
"233","ANDGER","CB26",0
"234","ANDGER","CB27",1
"235","ANDGER","CB30",0
"236","ANDGER","CB35",1
"237","ANDGER","CB41",0
"238","ANDGER","CB5",0
"239","ANDGER","CB50",0
"240","ANDGER","CB51",0
"241","ANDGER","CB52",0
"242","ANDGER","CB53",0
"243","ANDGER","CB54",0
"244","ANDGER","CB55",0
"245","ANDGER","CB56",0
"246","ANDGER","CB57",0
"247","ANDGER","CB58",1
"248","ANDGER","CB6",1
"249","ANDGER","CB62",1
"250","ANDGER","CB64",1
"251","ANDGER","CB66",0
"252","ANDGER","CB68",1
"253","ANDGER","CB69",0
"254","ANDGER","CB7",1
"255","ANDGER","CB71",1
"256","ANDGER","CB74",1
"257","ANDGER","CB75",1
"258","ANDGER","CB76",0
"259","ANDGER","CB80",1
"260","ANDGER","CB86",0
"261","ANDGER","CB89",1
"262","ANDGER","CB9",1
"263","ANDGER","CB98",1
"264","ANDGER","W10",0
"265","ANDGER","W20",0
"266","ANDGER","W30",1
"267","ANDGER","W41",1
"268","ANDGER","W45",1
"269","ANDGER","W49",0
"270","ANDGER","W51",1
"271","ANDGER","W52",1
"272","ANDGER","W56",0
"273","ANDGER","W58",1
"274","ANDGER","W8",1
"275","ANECAN","CB10",0
"276","ANECAN","CB13",0
"277","ANECAN","CB16",1
"278","ANECAN","CB179",1
"279","ANECAN","CB58",1
"280","ANECAN","CB6",1
"281","ANECYL","CB1",1
"282","ANECYL","CB102",1
"283","ANECYL","CB103",1
"284","ANECYL","CB105",1
"285","ANECYL","CB107",1
"286","ANECYL","CB109",1
"287","ANECYL","CB11",1
"288","ANECYL","CB111",1
"289","ANECYL","CB1145",1
"290","ANECYL","CB1147",1
"291","ANECYL","CB1148",1
"292","ANECYL","CB115",0
"293","ANECYL","CB1157",1
"294","ANECYL","CB1160",1
"295","ANECYL","CB1162",1
"296","ANECYL","CB1166",1
"297","ANECYL","CB117",1
"298","ANECYL","CB118",0
"299","ANECYL","CB1187",1
"300","ANECYL","CB1188",1
"301","ANECYL","CB1189",1
"302","ANECYL","CB1190",1
"303","ANECYL","CB12",1
"304","ANECYL","CB120",0
"305","ANECYL","CB13",1
"306","ANECYL","CB14",1
"307","ANECYL","CB15",1
"308","ANECYL","CB16",1
"309","ANECYL","CB21",1
"310","ANECYL","CB22",1
"311","ANECYL","CB26",1
"312","ANECYL","CB27",1
"313","ANECYL","CB30",0
"314","ANECYL","CB51",1
"315","ANECYL","CB53",0
"316","ANECYL","CB54",0
"317","ANECYL","CB55",0
"318","ANECYL","CB57",1
"319","ANECYL","CB62",1
"320","ANECYL","CB66",0
"321","ANECYL","CB69",0
"322","ANECYL","CB76",0
"323","ANECYL","CB80",1
"324","ANECYL","CB86",0
"325","ANECYL","CB89",1
"326","ANECYL","CB9",0
"327","ANECYL","W10",0
"328","ANECYL","W20",1
"329","ANECYL","W45",0
"330","ANECYL","W49",0
"331","ANECYL","W51",0
"332","ANECYL","W52",1
"333","ANECYL","W56",0
"334","ANECYL","W58",1
"335","ANECYL","W8",0
"336","ANEPAT","CB1157",1
"337","ANEPAT","CB1160",1
"338","ANEPAT","CB1162",1
"339","ANEPAT","CB1166",1
"340","ANEPAT","CB12",1
"341","ANEPAT","CB121",0
"342","ANEPAT","CB175",1
"343","ANEPAT","CB30",0
"344","ANEPAT","CB57",1
"345","ANEPAT","CB86",0
"346","ANEPAT","CB89",1
"347","ANEQUI","CB1146",0
"348","ANEQUI","CB1148",0
"349","ANEQUI","CB1162",1
"350","ANEQUI","CB1189",0
"351","ANEQUI","CB13",1
"352","ANEQUI","CB15",1
"353","ANEQUI","CB170",1
"354","ANEQUI","CB199",1
"355","ANEQUI","CB27",1
"356","ANEQUI","CB6",1
"357","ANEVIR","CB1165",0
"358","ANEVIR","CB16",1
"359","ANTELE","CB1162",1
"360","ANTELE","CB76",0
"361","ANTELE","CB98",0
"362","ANTSPP","CB105",1
"363","ANTSPP","CB107",0
"364","ANTSPP","CB11",0
"365","ANTSPP","CB1146",1
"366","ANTSPP","CB1147",1
"367","ANTSPP","CB1148",1
"368","ANTSPP","CB115",1
"369","ANTSPP","CB1157",1
"370","ANTSPP","CB1162",1
"371","ANTSPP","CB1163",1
"372","ANTSPP","CB1165",1
"373","ANTSPP","CB1188",1
"374","ANTSPP","CB1189",1
"375","ANTSPP","CB1194",1
"376","ANTSPP","CB12",1
"377","ANTSPP","CB120",0
"378","ANTSPP","CB14",1
"379","ANTSPP","CB15",1
"380","ANTSPP","CB174",1
"381","ANTSPP","CB175",1
"382","ANTSPP","CB18",1
"383","ANTSPP","CB199",0
"384","ANTSPP","CB27",1
"385","ANTSPP","CB30",0
"386","ANTSPP","CB37",1
"387","ANTSPP","CB50",1
"388","ANTSPP","CB51",1
"389","ANTSPP","CB52",1
"390","ANTSPP","CB57",0
"391","ANTSPP","CB62",0
"392","ANTSPP","CB64",1
"393","ANTSPP","CB66",1
"394","ANTSPP","CB69",1
"395","ANTSPP","CB71",1
"396","ANTSPP","CB73",1
"397","ANTSPP","CB74",0
"398","ANTSPP","CB75",1
"399","ANTSPP","CB80",1
"400","ANTSPP","CB86",0
"401","ANTSPP","CB89",1
"402","ANTSPP","CB9",0
"403","ANTSPP","CB98",1
"404","ANTSPP","W20",1
"405","APIAME","CB56",1
"406","APOAND","CB1",0
"407","APOAND","CB102",1
"408","APOAND","CB109",1
"409","APOAND","CB1145",1
"410","APOAND","CB1146",1
"411","APOAND","CB1163",1
"412","APOAND","CB1165",1
"413","APOAND","CB1188",1
"414","APOAND","CB1189",1
"415","APOAND","CB1190",1
"416","APOAND","CB1194",1
"417","APOAND","CB1206",1
"418","APOAND","CB13",1
"419","APOAND","CB14",1
"420","APOAND","CB15",1
"421","APOAND","CB20",1
"422","APOAND","CB22",1
"423","APOAND","CB27",0
"424","APOAND","CB50",1
"425","APOAND","CB51",1
"426","APOAND","CB58",0
"427","APOAND","CB62",1
"428","APOAND","CB64",1
"429","APOAND","CB66",0
"430","APOAND","CB76",0
"431","APOAND","CB9",0
"432","APOAND","W20",0
"433","APOCAN","CB11",1
"434","APOCAN","CB111",1
"435","APOCAN","CB117",0
"436","APOCAN","CB13",1
"437","APOCAN","CB18",1
"438","APOCAN","CB20",1
"439","APOCAN","CB22",1
"440","APOCAN","CB35",1
"441","APOCAN","CB50",0
"442","APOCAN","CB51",0
"443","APOCAN","CB55",0
"444","APOCAN","CB56",0
"445","APOCAN","CB62",1
"446","APOCAN","CB69",1
"447","APOCAN","CB98",0
"448","AQUCAN","CB1148",0
"449","AQUCAN","CB1157",0
"450","AQUCAN","CB1160",0
"451","AQUCAN","CB1163",0
"452","AQUCAN","CB1165",0
"453","AQUCAN","CB1187",0
"454","AQUCAN","CB1189",0
"455","AQUCAN","CB1206",1
"456","ARALYR","CB12",1
"457","ARALYR","CB120",0
"458","ARALYR","CB30",0
"459","ARALYR","CB89",1
"460","ARANUD","CB1146",0
"461","ARANUD","CB1148",0
"462","ARANUD","CB1165",1
"463","ARANUD","CB1187",1
"464","ARANUD","CB1206",1
"465","ARITRI","CB1165",0
"466","ARNATR","CB1146",1
"467","ARNATR","CB50",1
"468","ARNATR","CB51",1
"469","ARNPLA","CB10",1
"470","ARNPLA","CB2",1
"471","ARNPLA","CB37",1
"472","ARNPLA","CB9",1
"473","ARNPLA","CB98",1
"474","AROMEL","CB21",1
"475","AROMEL","CB68",1
"476","AROMEL","CB86",1
"477","AROMEL","CB89",1
"478","ARTCAM","CB1147",1
"479","ARTCAM","CB1148",1
"480","ARTCAM","CB1157",1
"481","ARTCAM","CB1160",1
"482","ARTCAM","CB1166",1
"483","ARTCAM","CB118",1
"484","ARTCAM","CB1190",1
"485","ARTCAM","CB12",1
"486","ARTCAM","CB120",1
"487","ARTCAM","CB121",1
"488","ARTCAM","CB2",1
"489","ARTCAM","CB21",1
"490","ARTCAM","CB22",1
"491","ARTCAM","CB30",0
"492","ARTCAM","CB35",1
"493","ARTCAM","CB57",1
"494","ARTCAM","CB66",1
"495","ARTCAM","CB68",1
"496","ARTCAM","CB76",1
"497","ARTCAM","CB86",1
"498","ARTCAM","CB89",1
"499","ARTLUD","CB10",1
"500","ARTLUD","CB200",0
"501","ARTLUD","CB69",1
"502","ARTLUD","W8",1
"503","ARTSER","CB10",1
"504","ASCAMP","CB107",1
"505","ASCAMP","CB109",1
"506","ASCAMP","CB14",0
"507","ASCAMP","CB51",1
"508","ASCAMP","CB64",1
"509","ASCAMP","CB66",1
"510","ASCAMP","CB80",1
"511","ASCHIR","CB107",1
"512","ASCHIR","CB6",1
"513","ASCHIR","CB9",1
"514","ASCINC","CB37",1
"515","ASCLAN","CB12",1
"516","ASCLAN","CB21",1
"517","ASCLAN","CB51",1
"518","ASCLAN","CB89",1
"519","ASCOVA","CB26",1
"520","ASCPUR","CB10",1
"521","ASCPUR","CB15",1
"522","ASCPUR","CB5",1
"523","ASCSUL","CB98",0
"524","ASCSUL","W20",1
"525","ASCSUL","W49",1
"526","ASCSUL","W8",1
"527","ASCSYR","CB10",0
"528","ASCSYR","CB102",0
"529","ASCSYR","CB103",1
"530","ASCSYR","CB105",1
"531","ASCSYR","CB11",0
"532","ASCSYR","CB111",0
"533","ASCSYR","CB1145",1
