"","accSppName","past_survey","current_survey","seed_mix"
"1","Acer negundo","yes","yes","no"
"2","Achillea millefolium","yes","no","yes"
"3","Actaea pachypoda","yes","no","no"
"4","Actaea rubra","yes","yes","no"
"5","Agrimonia gryposepala","yes","yes","no"
"6","Elymus trachycaulus","yes","no","no"
"7","Ambrosia artemisiifolia","yes","yes","no"
"8","Ambrosia psilostachya","yes","no","no"
"9","Amelanchier spp.","yes","no","no"
"10","Amorpha canescens","yes","yes","yes"
"11","Amorpha fruticosa","yes","no","no"
"12","Amphicarpaea bracteata","yes","yes","no"
"13","Andropogon gerardii","yes","yes","yes"
"14","Anemone cylindrica","yes","no","yes"
"15","Anemone quinquefolia","yes","yes","no"
"16","Anemone virginiana","yes","yes","yes"
"17","Antennaria spp.","yes","no","no"
"18","Apocynum androsaemifolium","yes","no","no"
"19","Apocynum cannabinum","yes","yes","no"
"20","Aquilegia canadensis","yes","yes","yes"
"21","Arabidopsis lyrata","yes","no","no"
"22","Aralia nudicaulis","yes","yes","no"
"23","Arisaema triphyllum","yes","yes","yes"
"24","Artemisia campestris","yes","no","no"
"25","Artemisia frigida","yes","no","no"
"26","Asclepias syriaca","yes","no","yes"
"27","Asclepias tuberosa","yes","no","yes"
"28","Asclepias verticillata","yes","no","no"
"29","Asparagus officinalis","yes","yes","no"
"30","Symphyotrichum oolentangiense","yes","no","yes"
"31","Symphyotrichum ericoides","yes","no","no"
"32","Symphyotrichum laeve","yes","no","yes"
"33","Symphyotrichum lateriflorum","yes","yes","yes"
"34","Ionactis linariifolius","yes","no","no"
"35","Symphyotrichum novae-angliae","yes","no","yes"
"36","Symphyotrichum oblongifolium","yes","no","no"
"37","Symphyotrichum sericeum","yes","no","no"
"38","Symphyotrichum shortii","yes","no","yes"
"39","Symphyotrichum urophyllum","yes","yes","yes"
"40","Athyrium filix-femina","yes","yes","no"
"41","Aureolaria grandiflora","yes","no","yes"
"42","Baptisia alba","yes","no","no"
"43","Baptisia bracteata","yes","no","no"
"44","Besseya bullii","yes","no","no"
"45","Bidens spp.","yes","no","no"
"46","Sceptridium multifidium","yes","no","no"
"47","Botrypus virginianus","yes","yes","no"
"48","Bouteloua curtipendula","yes","yes","yes"
"49","Bouteloua hirsuta","yes","no","no"
"50","Brickellia eupatorioides","yes","no","yes"
"51","Bromus kalmii","yes","no","yes"
"52","Arnoglossum plantagineum","yes","no","no"
"53","Calamagrostis canadensis","yes","no","no"
"54","Calystegia sepium","yes","no","no"
"55","Campanula rotundifolia","yes","no","no"
"56","Carex pensylvanica","yes","yes","no"
"57","Carex spp.","yes","yes","no"
"58","Carya ovata","yes","yes","no"
"59","Ceanothus americanus","yes","no","yes"
"60","Celastrus scandens","yes","yes","yes"
"61","Circaea lutetiana","yes","yes","no"
"62","Cirsium canescens","yes","no","no"
"63","Cirsium discolor","yes","no","no"
"64","Comandra umbellata","yes","yes","no"
"65","Coreopsis palmata","yes","no","yes"
"66","Cornus racemosa","yes","yes","no"
"67","Cornus rugosa","yes","no","no"
"68","Corydalis sempervirens","yes","no","no"
"69","Corylus americana","yes","yes","no"
"70","Crataegus spp.","yes","no","no"
"71","Cryptotaenia canadensis","yes","yes","no"
"72","Cystopteris fragilis","yes","no","no"
"73","Dalea candida","yes","no","yes"
"74","Dalea purpurea","yes","no","yes"
"75","Danthonia spicata","yes","no","yes"
"76","Desmodium canadense","yes","no","yes"
"77","Desmodium glutinosum","yes","yes","yes"
"78","Desmodium illinoense","yes","no","yes"
"79","Dichanthelium acuminatum","yes","no","no"
"80","Dichanthelium leibergii","yes","no","no"
"81","Dichanthelium linearifolium","yes","no","no"
"82","Dichanthelium oligosanthes","yes","yes","no"
"83","Dioscorea villosa","yes","yes","no"
"84","Dodecatheon meadia","yes","no","yes"
"85","Dryopteris marginalis","yes","no","no"
"86","Elymus canadensis","yes","no","yes"
"87","Equisetum laevigatum","yes","no","no"
"88","Erechtites hieraciifolia","yes","yes","no"
"89","Erigeron pulchellus","yes","no","no"
"90","Erigeron strigosus","yes","yes","no"
"91","Eryngium yuccifolium","yes","no","no"
"92","Euphorbia corollata","yes","yes","yes"
"93","Euthamia graminifolia","yes","no","yes"
"94","Fragaria virginiana","yes","yes","no"
"95","Galium boreale","yes","yes","no"
